SerialNumber,UnitName,ItemDescription,ReferenceId,Unit ActivationDate UTC,"Unit ActivationDate ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",Timestamp UTC,"Timestamp ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",PositionType,Latitude,Longitude,Accuracy(m),City,Temperature(°C),TemperatureMin(°C),TemperatureMax(°C),AccelerationX(g),AccelerationY(g),AccelerationZ(g),PeakAccelerationTime,"PeakAccelerationTime ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",PeakAccelerationX(g),PeakAccelerationY(g),PeakAccelerationZ(g),PeakAccelerationVector(g),AccelerationXMin(g),AccelerationYMin(g),AccelerationZMin(g),AccelerationXMax(g),AccelerationYMax(g),AccelerationZMax(g),LightLevel,LightLevelMin,LightLevelMax,Triggers,TotalOnTimerMotion,TotalRotation,GPS Speed(Km/h),GPS Altitude(m),Humidity%,HumidityMin%,HumidityMax%,Pressure(Pa),PressureMin(Pa),PressureMax(Pa),Tag1_Serialnumber,Tag1_Humidity,Tag1_Temperature,Tag1_DewPoint,Tag2_Serialnumber,Tag2_Humidity,Tag2_Temperature,Tag2_DewPoint,Tag3_Serialnumber,Tag3_Humidity,Tag3_Temperature,Tag3_DewPoint,Tag4_Serialnumber,Tag4_Humidity,Tag4_Temperature,Tag4_DewPoint,Tag5_Serialnumber,Tag5_Humidity,Tag5_Temperature,Tag5_DewPoint,Tag6_Serialnumber,Tag6_Humidity,Tag6_Temperature,Tag6_DewPoint,Tag7_Serialnumber,Tag7_Humidity,Tag7_Temperature,Tag7_DewPoint,Tag8_Serialnumber,Tag8_Humidity,Tag8_Temperature,Tag8_DewPoint,Input0,Input1,Input2,Input3,Load0,Load1,MinInput0,MinInput1,MinInput2,MinInput3,MinLoad0,MinLoad1,MaxInput0,MaxInput1,MaxInput2,MaxInput3,MaxLoad0,MaxLoad1,InputTrigger
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-11 03:01:31,2022-04-11 05:01:31,GPS,55.670755,12.5119116666667,7,,17.4,16.5,18.5,-0.034,0.002,0.976,,,,,,,,,,,,,0,0,171,"Wakeup, Distance",170721,,0.72,12,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-10 15:01:34,2022-04-10 17:01:34,GPS,55.6709033333333,12.5113416666667,9,,18,16.8,18.2,-0.036,0,0.978,,,,,,,,,,,,,102,63,293,"Wakeup, Distance",170721,,2.01,-50.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-10 13:00:59,2022-04-10 15:00:59,GPS,55.6708683333333,12.5118683333333,7,,18,16.5,18,-0.032,0.005,0.978,,,,,,,,,,,,,231,94,1414,"Wakeup, Distance",170721,,0.25,-0.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-10 07:01:01,2022-04-10 09:01:01,GPS,55.6708033333333,12.5120133333333,7,,17.3,15.5,17.4,-0.033,0.005,0.978,,,,,,,,,,,,,434,0,1433,"Wakeup, Distance",170721,,0.46,10.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-10 03:02:00,2022-04-10 05:02:00,GPS,55.6708583333333,12.5118033333333,9,,16.6,15.5,17.5,-0.035,0.003,0.975,,,,,,,,,,,,,0,0,200,"Wakeup, Distance",170721,,0.07,4.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-09 15:01:57,2022-04-09 17:01:57,GPS,55.6709616666667,12.5121033333333,6,,17.3,16,17.4,-0.034,0.006,0.977,,,,,,,,,,,,,143,32,309,"Wakeup, Distance",170721,,0.48,33.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-09 13:01:00,2022-04-09 15:01:00,GPS,55.670835,12.511935,6,,17.2,16,17.4,-0.029,0.006,0.98,,,,,,,,,,,,,32,32,1428,"Wakeup, Distance",170721,,0.5,-7.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-09 07:01:02,2022-04-09 09:01:02,GPS,55.6707383333333,12.5117616666667,6,,16.5,14.5,16.6,-0.031,0.004,0.977,,,,,,,,,,,,,425,0,1430,"Wakeup, Distance",170721,,0.09,-11.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-09 03:02:29,2022-04-09 05:02:29,GPS,55.67081,12.5118416666667,8,,16.2,15.2,18,-0.03,0.003,0.965,,,,,,,,,,,,,0,0,162,"Wakeup, Distance",170721,,0.2,5.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-08 15:02:36,2022-04-08 17:02:36,GPS,55.6707016666667,12.5119283333333,9,,17.7,17.5,18,-0.032,0.002,0.976,,,,,,,,,,,,,118,118,287,"Wakeup, Distance",170721,,0.62,10.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-08 14:03:01,2022-04-08 16:03:01,GPS,55.6708183333333,12.5118966666667,8,,18,23.2,24.8,-0.032,0.003,0.976,,,,,,,,,,,,,161,134,359,Wakeup,170721,,0.38,-4.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-08 13:00:44,2022-04-08 15:00:44,GPS,55.6708316666667,12.5118083333333,11,,18.1,17,18.7,-0.031,0.003,0.975,,,,,,,,,,,,,206,0,526,"Wakeup, Distance",170721,,0.51,-1.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-08 10:57:25,2022-04-08 12:57:25,GPS,55.67081,12.511895,7,,18.5,17.5,19.2,-0.034,0.005,0.979,,,,,,,,,,,,,526,0,1427,"Wakeup, Distance",170721,,0.03,-2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-08 07:01:00,2022-04-08 09:01:00,GPS,55.6707816666667,12.51198,6,,18.8,16.8,19.7,-0.034,0.003,0.979,,,,,,,,,,,,,1406,0,1425,"Wakeup, Distance",170721,,0.57,12.1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-07 22:57:48,2022-04-08 00:57:48,GPS,55.6708383333333,12.5117866666667,6,,19.5,18.8,21.2,-0.034,0.001,0.976,,,,,,,,,,,,,0,0,383,"Wakeup, Distance",170721,,0.2,1.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-07 13:00:48,2022-04-07 15:00:48,GPS,55.6708366666667,12.511915,13,,19.7,18.8,19.8,-0.034,0.005,0.976,,,,,,,,,,,,,121,0,156,"Wakeup, Distance",170721,,1.11,12.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-07 10:57:54,2022-04-07 12:57:54,GPS,55.6708266666667,12.51197,8,,18.8,16.8,19.1,-0.033,0.002,0.977,,,,,,,,,,,,,150,0,1398,"Wakeup, Distance",170721,,0.27,17.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-07 07:01:18,2022-04-07 09:01:18,GPS,55.67079,12.51181,8,,17.8,16.8,19.8,-0.034,0.002,0.979,,,,,,,,,,,,,105,0,105,"Wakeup, Distance",170721,,0.14,-28.3,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-06 22:58:01,2022-04-07 00:58:01,GPS,55.6707216666667,12.5118316666667,11,,19.3,18.8,20.3,-0.033,-0.001,0.973,,,,,,,,,,,,,0,0,182,"Wakeup, Distance",170721,,0.64,23,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-06 13:01:00,2022-04-06 15:01:00,GPS,55.670835,12.5119566666667,6,,19.9,18.8,19.9,-0.038,0,0.979,,,,,,,,,,,,,138,1,232,"Wakeup, Distance",170721,,0.51,-6.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-06 10:58:04,2022-04-06 12:58:04,GPS,55.6707816666667,12.5120066666667,7,,18.9,16.8,19.2,-0.042,0.002,0.975,,,,,,,,,,,,,24,0,96,"Wakeup, Distance",170721,,0.9,13.6,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-06 07:01:02,2022-04-06 09:01:02,GPS,55.6707516666667,12.5119366666667,6,,17.5,16.8,19.1,-0.033,0.001,0.977,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",170721,,0.64,-23.4,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-05 22:58:56,2022-04-06 00:58:56,GPS,55.6707116666667,12.5121616666667,9,,18.8,17.3,19.3,-0.162,0.929,0.478,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",170711,,1.53,-12.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-05 13:01:14,2022-04-05 15:01:14,GPS,55.6707783333333,12.5117766666667,8,,17.8,16.8,17.8,-0.155,0.919,0.481,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",170711,,1.87,-97,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-05 10:58:57,2022-04-05 12:58:57,GPS,55.67072,12.511815,7,,17.3,15.8,17.5,-0.152,0.92,0.484,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",170711,,0.61,8.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-05 07:02:21,2022-04-05 09:02:21,GPS,55.6707783333333,12.5120283333333,6,,16.8,15.8,19.2,0.265,-0.45,0.835,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",170698,,0.87,-40.3,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-04 23:00:12,2022-04-05 01:00:12,,,,,,19.2,17.8,27.3,0.254,-0.456,0.834,,,,,,,,,,,,,0,0,0,"Wakeup, NoGPS",170698,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-04 13:02:50,2022-04-04 15:02:50,Triangulated,67.0119263,-50.703235,3179,,22.7,13.8,22.7,0.653,0.57,-0.576,,,,,,,,,,,,,0,0,0,"Wakeup, NoGPS",167158,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-04 10:58:52,2022-04-04 12:58:52,GPS,67.02419,-50.6599683333333,6,,15.4,15.4,22.3,0.809,0.548,-0.356,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",163890,,1.22,54.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-04 07:02:32,2022-04-04 09:02:32,GPS,69.217015,-51.1230366666667,9,,21.8,20.8,22.7,-0.065,0.281,0.937,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.72,-74.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 23:01:16,2022-04-04 01:01:16,GPS,69.217235,-51.122775,8,,21.8,21.6,21.8,-0.064,0.279,0.934,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,2.81,70.1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:58:55,2022-04-04 00:58:55,GPS,69.21718,-51.1228083333333,11,,21.6,21.5,21.7,-0.061,0.282,0.933,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,1.74,74.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:53:51,2022-04-04 00:53:51,GPS,69.2172516666667,-51.1230933333333,7,,21.6,21.5,21.8,-0.058,0.284,0.93,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.27,61.1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:50:00,2022-04-04 00:50:00,GPS,69.2171783333333,-51.12311,6,,21.5,21.5,21.7,-0.061,0.281,0.931,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.38,40.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:43:50,2022-04-04 00:43:50,GPS,69.216945,-51.122965,8,,21.5,21.5,21.7,-0.065,0.279,0.93,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,2.74,-47,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:38:46,2022-04-04 00:38:46,GPS,69.2169616666667,-51.1230733333333,8,,21.5,21.5,21.7,-0.062,0.283,0.932,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,1.61,4.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:34:06,2022-04-04 00:34:06,GPS,69.2171283333333,-51.1228816666667,6,,21.6,21.5,21.8,-0.06,0.283,0.934,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.35,-0.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:29:15,2022-04-04 00:29:15,GPS,69.21727,-51.1228233333333,8,,21.5,21.5,21.7,-0.061,0.278,0.93,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,1.25,57.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:24:26,2022-04-04 00:24:26,GPS,69.2171133333333,-51.1228383333333,6,,21.7,21.5,21.7,-0.061,0.279,0.928,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,1.57,4.1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:19:15,2022-04-04 00:19:15,GPS,69.2170766666667,-51.1230716666667,7,,21.5,21.5,21.6,-0.062,0.282,0.931,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.57,20.3,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:13:50,2022-04-04 00:13:50,GPS,69.2169633333333,-51.1235966666667,8,,21.6,21.5,21.6,-0.063,0.282,0.931,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.4,-6.8,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:08:59,2022-04-04 00:08:59,GPS,69.2175083333333,-51.1222233333333,15,,21.6,21.3,21.7,-0.06,0.283,0.933,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,0.4,34,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-03 22:03:50,2022-04-04 00:03:50,GPS,69.2171666666667,-51.1228966666667,8,,21.3,21.3,21.7,-0.059,0.281,0.932,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",159590,,1.53,36.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
